ID	Family	Species_Name	Lineage	SRA_RunIDs
Hagl	Amaranthaceae	Halogeton_glomeratus	B2	SRR1503502,SRR1503514,SRR1503555,SRR1503595,SRR1503597,SRR1503598,SRR1505794,SRR1505795,SRR1505796,SRR1505884,SRR1507065,SRR1507180,SRR1507181,SRR1507182,SRR5229904,SRR5229933,SRR5229934,SRR5229935
GiphSFB	Gisekiaceae	Gisekia_pharnaceoides	B3	SRR6435307
Grbr1013	Cactaceae	Grusonia_bradtiana	B4	SRR7905852
MJM2725	Nyctaginaceae	Mirabilis_pringlei	B3	SRR6435291
BJKT	Aizoaceae	Delosperma_echinatum	B3	ERR2040192
HTDC	Tamaricaceae	Tamarix_chinensis	A	ERR2040274
KalcuSFB	Amaranthaceae	Kalidium_cuspidatum	B2	SRR6435350
MJM2246	Nyctaginaceae	Acleisanthes_acutifolia	B3	SRR6787481
ZBPY	Amaranthaceae	Alternanthera_brasiliana	B2	ERR2040215,ERR2040216
SFB30	Petiveriaceae	Seguieria_aculeata	B3	SRR1594352
DBG19565744023G	Didiereaceae	Alluaudia_procera	B4	SRR7905829
MJM1162	Polygonaceae	Persicaria_runcinata	A	SRR6374679
Ecau09	Cactaceae	Echinopsis_aurea	B4	SRR7905840
MJM3201	Polygonaceae	Chorizanthe_angustifolia	A	SRR6435319
Reso	Tamaricaceae	Reaumuria_kaschgarica	A	SRR5397306
MJM3142	Montiaceae	Calyptridium_umbellatum	B4	SRR7905872
Tear12	Cactaceae	Tephrocactus_articulatus	B4	SRR7905867
Pomi	Polygonaceae	Persicaria_minor	A	SRR1536192,SRR1536245,SRR1972524,SRR5349188,SRR5349189,SRR5349190,SRR5349191,SRR5359804,SRR5359805,SRR5359806,SRR5359807,SRR5359808,SRR5359809,SRR6980932,SRR6981186
MJM3333	Polygonaceae	Bistorta_bistortoides	A	SRR6435286
ILU6	Nyctaginaceae	Bougainvillea_stipitata_var_grisebachiana	B3	SRR1594527
SMMC	Amaranthaceae	Chenopodium_pallidicaule	B2	SRR4425240,SRR4425241,SRR4425242,SRR4425243
Tapo	Talinaceae	Talinum_portulacifolium	B4	SRR1698110
MJM2259	Amaranthaceae	Tidestromia_lanuginosa	B2	SRR6787504
